vote_id,bioguide,member_name,party,state,chamber,congress,bill_number,bill_title,vote_date,true_label,predicted_label,reasoning,prompt_tokens,completion_tokens,n_tweets_raw,n_tweets_used,competitiveness,had_bill_summary,retrieval_method,mean_similarity,timestamp,proj,freshman,n_past_votes
house_110_1st_641,W000795,Wilson (SC),R,SC,house,110,H R 2641,Energy and Water Development and Related Agencies Appropriations for FY 2008,2007-07-17,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.0313, ideal=(0.529, 0.163), midpoint=(0.400, 0.031) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.031281,veteran,25
house_116_1st_46,F000469,Fulcher,R,ID,house,116,H J RES 28,"Making further continuing appropriations for fiscal year 2019, and for other purposes",2019-01-23,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.1634, ideal=(0.643, -0.119), midpoint=(0.157, 0.988) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.163377,freshman,20
senate_119_2_53,Y000064,Young (R-IN),R,IN,senate,119,"A bill a bill to increase the supply of housing in America, and for other purpos","H.R. 6644, as amended",2026-03-12,Nay,Yea,"DW-NOMINATE spatial rule: proj=-0.2938, ideal=(0.444, -0.042), midpoint=(0.445, -0.485) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.293834,veteran,25
house_114_2nd_125,B001257,Bilirakis,R,FL,house,114,H R 4416,To extend the deadline for commencement of construction of a hydroelectric project,2016-03-16,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.0,veteran,25
house_119_2nd_38,B001302,Biggs (AZ),R,AZ,house,119,H J RES 140,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management relating to Public Land Order No. 7917 for Withdrawal of Federal Lands; Cook, Lake, and Saint Louis Counties, MN",2026-01-21,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.1937, ideal=(0.818, -0.575), midpoint=(0.053, 0.005) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.1937449999999999,veteran,25
house_119_2nd_118,R000395,Rogers (KY),R,KY,house,119,H R 6398,RED Tape Act,2026-04-16,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.1528, ideal=(0.334, 0.157), midpoint=(-0.050, 0.195) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.152848,veteran,25
house_116_1st_11,C001061,Cleaver,D,MO,house,116,H R 21,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes",2019-01-03,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.5366, ideal=(-0.454, 0.003), midpoint=(0.209, 0.100) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.536556,veteran,25
house_117_2nd_10,B000490,Bishop,D,GA,house,117,S 2959,Supplemental Impact Aid Flexibility Act,2022-01-18,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.0,veteran,25
house_118_2nd_515,G000590,Green (TN),R,TN,house,118,S 759,Beagle Brigade Act,2024-12-18,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.8130, ideal=(0.671, 0.018), midpoint=(0.367, -0.870) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.812984,veteran,25
house_116_1st_488,C001112,Carbajal,D,CA,house,116,S J RES 38,Providing for congressional disapproval of the proposed export to the Kingdom of Saudi Arabia and the United Kingdom of Great Britain and Northern Ireland of certain defense articles and services,2019-07-17,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.9307, ideal=(-0.324, 0.099), midpoint=(-0.139, 0.990) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.930652,veteran,25
